OBJECTID,Field1,UN1,E,N,Ellps Height (m),Latitude,Longitude,gravity Geoid Height (m),UN
252,51SL-411-035,-98.06,403336,509705,-90.525,7.08774,79.8987,-97,1.06
253,51SL-411-050,-98.276,399368,504872,-94.899,7.04397,79.8629,-97.16,1.116
254,51SL-411-058,-98.297,400364,499867,-96.966,6.99873,79.872,-97.12,1.177
255,51TL-018-001,-97.543,422030,516760,-77.933,7.15182,80.0678,-96.19,1.353
256,51TL-018-005,-97.35,427175,513530,-53.807,7.12268,80.1144,-95.96,1.39
257,51TL-018-010,-96.977,434264,511898,-61.927,7.10801,80.1786,-95.63,1.347
258,51TL-023-003,-97.234,430608,509458,-42.83,7.08591,80.1456,-95.83,1.404
259,51TL-023-007,-97.239,430158,507422,-51.572,7.06749,80.1415,-95.87,1.369
260,51TL-023-019,-97.285,429268,502380,-77.843,7.02189,80.1335,-95.97,1.315
261,51TL-023-025,-97.344,428679,499583,-68.94,6.99659,80.1282,-96.03,1.314
262,51TL-023-030,-97.395,427819,497306,-78.377,6.97599,80.1205,-96.09,1.305
263,51TL-023-037,-97.447,425899,495087,-85.25,6.95589,80.1031,-96.19,1.257
264,51TL-023-042,-97.436,424355,492912,-78.289,6.93621,80.0892,-96.28,1.156
265,51TL-023-048,-97.563,423904,490315,-82.339,6.91272,80.0851,-96.32,1.243
266,51TL-025-035,-96.843,433824,509617,59.41,7.08738,80.1747,-95.67,1.173
267,51TL-025-051,-97.061,431203,512619,-63.3,7.1145,80.1509,-95.77,1.291
268,52PL-310-006,-98.564,401992,494860,-96.36,6.95349,79.8868,-97.08,1.484
269,52PL-310-018,-98.302,408622,493102,-93.281,6.9377,79.9468,-96.85,1.452
270,52PL-310-027,-97.996,413260,492601,-92.817,6.93324,79.9888,-96.7,1.296
271,52PL-310-037,-97.887,417454,491508,-90.259,6.92342,80.0268,-96.56,1.327
272,52PL-310-046,-97.754,421019,489640,-88.452,6.90658,80.059,-96.44,1.314
273,52PL-310-062,-97.519,427427,492279,-85.114,6.93052,80.117,-96.15,1.369
274,52PL-310-070,-97.378,430580,493479,-76.879,6.94141,80.1455,-95.99,1.388
275,52PL-310-077,-97.179,433867,492878,-78.731,6.93602,80.1753,-95.83,1.349
276,52SL-412-020,-98.236,406501,486353,-96.201,6.87664,79.9277,-96.98,1.256
